Name;Type;Pieces;Location;Style;i1;i2;i3;i4;i5;
Sergeant's Mail;Dungeon;Heavy;Wayrest Sewers;Dunmer;;Adds 1064 Maximum Health;Adds 129 Spell Damage;Adds 129 Weapon Damage;Increases the damage of your fully-charged Heavy Attacks by 1634.;
Tormenter;Dungeon;Heavy;Banished Cells;Daedric;;Adds 1064 Maximum Health;Adds 4% Healing Taken;Adds 4% Healing Taken;When you deal damage with a Charge ability, you gain 3642 Physical and Spell Resistance and taunt the enemy to attack you for 15 seconds.;
Undaunted Bastion;Dungeon;Heavy;Elden Hollow;Mercenary;;Adds 1064 Maximum Health;Adds 1935 Physical Resistance;Adds 1935 Spell Resistance;When you taunt an enemy while you are under 60% Health, gain a damage shield that absorbs 13760 damage for 6 seconds. This effect can occur once every 10 seconds.;
Elemental Succession;Dungeon;Light;Maelstrom Arena;Malacath;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 967 Maximum Magicka;While you are in combat, you gain a rotating bonus to Flame, Shock, or Frost Damage. The active element changes every 4 seconds. Your attacks dealing damage with the active element gain 515 Spell Damage.;
Healer's Habit;Dungeon;Light;DSA;Ancient Elf;;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Adds 129 Spell Damage;Gain Minor Mending at all times, increasing your healing done by 8%.;
Robes of Destruction Mastery;Dungeon;Light;DSA;Altmer;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 129 Spell Damage;While you have a Destruction Staff equipped, your Max Magicka is increased by 2400.;
Winterborn;Dungeon;Light;Maelstrom Arena;Reach Winter;;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Adds 129 Spell Damage;When you deal damage with a Cold Damage ability, you have a 8% chance to summon an ice pillar that deals 6020 Cold Damage to all enemies in a 3 meter radius. The ice pillar persists for 2 seconds and reduces the Movement Speed of all enemies within the radius by 60%.;
Archer's Mind;Dungeon;Medium;DSA;Bosmer;;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;Adds 688 Weapon Critical;Increases your Critical Damage done by 5%. Increases your Critical Damage done by an additional 10% when attacking from Sneak or invisibility.;
Hunt Leader;Dungeon;Medium;Maelstrom Arena;Malacath;;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;When your pets attack an enemy you have also attacked recently, you heal for 2433 Health and restore 1216 Stamina. This effect can occur once every 5 seconds.;
Para Bellum;Dungeon;Medium;Maelstrom Arena;Trinimac;;Adds 967 Maximum Stamina;Adds 1062 Maximum Health;Adds 967 Maximum Stamina;Gain a damage shield that absorbs 12040 damage if you have not taken any damage in the last 10 seconds.;
Footman's Fortune;Dungeon;Heavy;DSA;Orc;;Adds 1064 Maximum Health;Adds 1935 Physical Resistance;Adds 1935 Spell Resistance;Increases the amount of damage you block by 8%;
Glorious Defender;Dungeon;Heavy;Maelstrom Arena;Trinimac;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 129 Weapon Damage;When you deal damage with a Light or Heavy Attack, you have a 9% chance to gain 100% dodge chance against the next attack.;
Permafrost (also VMA shield);Dungeon;Heavy;Maelstrom Arena;Reach Winter;;Adds 1064 Maximum Health;Adds 967 Max Magicka;Adds 129 Magicka Recovery;While you have a damage shield on you, your Health Recovery is increased by 885.;
Destructive Mage;Trial;Light;HRC;Celestial;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 129 Spell Damage;When you deal damage with a fully-charged Heavy Attack, you place a bomb on the enemy for 10 seconds. When another player hits the same enemy with a fully-charged Heavy Attack they detonate the bomb, dealing 7500 Magic Damage all enemies within 8 meters. This effect can occur once every 10 seconds.;
Healing Mage;Trial;Light;AA;Celestial;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 2% Healing Done;When you use an area of effect heal ability, you reduce the Weapon Damage of all enemies within 10 meters of you by 430 for 3 seconds.;
Wise Mage;Trial;Light;SO;Celestial;;Adds 688 Spell Critical;Adds 688 Spell Critical;Adds 129 Spell Damage;Enemies you damage with fully-charged Heavy Attacks are afflicted with Minor Vulnerability for 10 seconds, increasing their damage taken by 8%.;
Poisonous Serpent;Trial;Medium;HRC;Celestial;;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;When you deal damage with a Light or Heavy Attack against an enemy who has a Poison Damage ability on them, you have a 25% chance to deal an additional 6800 Poison Damage.;
Quick Serpent;Trial;Medium;AA;Celestial;;Adds 688 Weapon Critical;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Reduces the costs of your Stamina abilities by 8%. When you kill an enemy, you gain Major Expedition for 20 seconds, increasing your Movement Speed by 30%.;
Twice-Fanged Serpent;Trial;Medium;SO;Celestial;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;When you deal damage, your Physical Penetration is increased by 1000 for 3 seconds, stacking up to 5 times.;
Berserking Warrior;Trial;Heavy;HRC;Celestial;;Adds 688 Weapon Critical;Adds 129 Weapon Damage;Adds 688 Weapon Critical;When you deal melee damage, your Critical Strike rating is increased by 400 for 5 seconds, stacking up to 5 times.;
Defending Warrior;Trial;Heavy;AA;Celestial;;Adds 1935 Spell Resistance;Adds 1935 Physical Resistance;Adds 1604 Maximum Health;When you block an attack, you deal 4000 Magic Damage to all enemies within 10 meters of you and heal for 100% of the damage done. This effect can occur once every 10 seconds.;
Immortal Warrior;Trial;Heavy;SO;Celestial;;Adds 4% Healing Taken;Adds 1064 Maximum Health;Adds 4% Healing Taken;When you die, you instead turn into a statue for 3 seconds. While a statue you are immune to all negative effects but can still be healed. This effect can occur once every 20 minutes.;
Infallible Mage;Trial;Light;AA/HRC/SO;Yokudan;;Adds 688 Spell Critical;Gain Minor Slayer at all times, increasing your damage done to Dungeon and Trial Monsters by 5%.;Adds 129 Spell Damage;Your fully charged heavy attacks do an additional 903 damage.\nEnemies you damage with fully charged Heavy Attacks are afflicted with Minor Vulnerability for 10 seconds, increasing their damage taken by 8%.\nAdds 688 Spell Critical;
Moondancer;Trial;Light;Maw of Lorkhaj;Dro-m’Athra;;Adds 967 Maximum Magicka;Gain Minor Slayer at all times, increasing your damage done to Dungeon and Trial Monsters by 5%.;Adds 129 Spell Damage;When you activate a synergy, you gain a shadow blessing that increases your Spell Damage by 448 or a lunar blessing that increases your Magicka Recovery by 448 for 30 seconds. You can only have one blessing active at a time.;
Twilight Remedy;Trial;Light;Maw of Lorkhaj;Dro-m’Athra;;Adds 129 Magicka Recovery;Gain Minor Aegis at all times, reducing your damage taken from Dungeon and Trial Monsters by 5%.;Adds 129 Spell Damage;When an ally activates your synergy, they heal themselves for 18920 Health over 10 seconds and gain Minor Force, increasing their Critical Damage done by 12%;
Roar of Alkosh;Trial;Medium;Maw of Lorkhaj;Dro-m’Athra;;Adds 688 Weapon Critical;Gain Minor Slayer at all times, increasing your damage done to Dungeon and Trial Monsters by 5%.;Adds 129 Weapon Damage;When you activate a synergy, you send a shockwave from your position that deals 1720 Physical Damage and an additional 12040 Physical Damage over 10 seconds. Reduces the Physical and Spell Resistance of any enemy hit by 3010 for 10 seconds.;
Vicious Serpent;Trial;Medium;AA/HRC/SO;Yokudan;;Adds 688 Weapon Critical;Gain Minor Slayer at all times, increasing your damage done to Dungeon and Trial Monsters by 5%.;Adds 688 Weapon Critical;Reduces the cost of your Stamina abilities by 8%.\nWhen you kill an enemy, you restore 2150 Stamina and gain Major Expedition for 20 seconds, increasing your Movement Speed by 30%.\nAdds 129 Weapon Damage;
Eternal Warrior;Trial;Heavy;AA/HRC/SO;Yokudan;;Adds 4% Healing Taken;Gain Minor Aegis at all times, reducing your damage taken from Dungeon and Trial Monsters by 5%.;Adds 1064 Maximum Health;When you die, you instead turn into a statue for 3 seconds and gain 200 Ultimate. While a statue you are immune to all negative effects but can still be healed. This effect can occur once every 10 minutes.\nAdds 4% Healing Taken;
Lunar Bastion;Trial;Heavy;Maw of Lorkhaj;Dro-m’Athra;;Adds 4% Healing Taken;Gain Minor Aegis at all times, reducing your damage taken from Dungeon and Trial Monsters by 5%.;Adds 1064 Maximum Health;When you activate a synergy, you create a lunar blessing underneath you for 10 seconds. The blessing grants a damage shield every 2 seconds that absorbs 2399 damage for you and your allies within 8 meters.;
Grace of the Ancients;PVP;R/N/Wep;Cyrodiil - Cropsford;Faction;;Adds 967 Maximum Magicka;Increases your Max Magicka by 4%.;;;
Wrath of the Imperium;PVP;R/N/Wep;Cyrodiil - Cropsford;Faction;;Adds 129 Spell Damage;Adds 688 Spell Critical;;;
Almalexia's Mercy;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 1064 Maximum Health;Adds 1935 Spell Resistance;Adds 1935 Spell Resistance;When you take damage, you have a 20% chance to heal you and your allies within 7 meters of you for 2429 Health. This effect can occur once every 3 seconds.;
The Arch-Mage;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 129 Magicka Recovery;Adds 129 Spell Damage;Adds 967 Maximum Magicka;When you deal damage with a fully-charged Heavy Attack, you restore 834 Magicka.;
Buffer of the Swift;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 1064 Maximum Health;Adds 4% Healing Taken;Reduces your damage taken from Players by 5%.;When you take damage from a spell, you have a 10% chance to gain a damage shield that absorbs 2580 damage for 6 seconds. This effect can occur once every 4 seconds (BUG: Typo, needs a period on the end like other set bonus statements);
Curse Eater;PVP;Light;Cyrodiil - Cropsford;Unused 18;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Reduces the duration of all negative effects applied to you by 20%.;
Desert Rose;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 1935 Spell Resistance;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;When you take damage, you have a 10% to restore 2408 Magicka. This effect can occur once every 1 second.;
Light of Cyrodiil;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 129 Spell Damage;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;While you are casting or channeling an ability, your damage taken is reduced by 15%.;
Robes of Alteration Mastery;PVP;Light;Cyrodiil - Cropsford;Faction;;Adds 129 Magicka Recovery;Adds 129 Magicka Recovery;Adds 688 Spell Critical;Reduces the cost of all your abilities by 6%.;
Robes of Transmutation;PVP;Light;Rewards for the Worthy;Abah's Watch;;Adds 129 Magicka Recovery;Adds 129 Magicka Recovery;Adds 688 Spell Critical;When you heal a target with a healing over time ability, grant them 1304 Critical Resistance for 20 seconds.;
Vicious Death;PVP;Light;Rewards for the Worthy;Abah's Watch;;Adds 129 Spell Damage;Adds 967 Maximum Magicka;Adds 688 Spell Critical;When you kill a Player, they violently explode for 15815 Flame Damage to all other enemies in a 4 meter radius.;
Eagle Eye;PVP;R/N/Wep;Cyrodiil - Bruma;Faction;;Adds 688 Weapon Critical;Increases the range of your Bow abilities by 3 meters.;;;
Vengeance Leech;PVP;R/N/Wep;Cyrodiil - Bruma;Faction;;Adds 1064 Maximum Health;When you kill an enemy, you heal for 1505 Health and restore 1505 Magicka and Stamina.;;;
Hawk's Eye;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Reduces the cost and increases the damage of your Bow abilities by 5%.;
Kyne's Kiss;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Adds 688 Weapon Critical;When you deal direct damage with a Bow ability, you have a 10% chance to heal for 1216 Health and restore 1216 Stamina.;
Leki's Focus;PVP;Medium;Rewards for the Worthy;Abah's Watch;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Reduces your damage taken from area of effect abilities by 25%, but the damage and healing of your own area of effect abilities is also reduced by 25%.;
Marksman's Crest;PVP;Medium;Rewards for the Worthy;Abah's Watch;;Adds 129 Stamina Recovery;Adds 129 Stamina Recovery;Adds 129 Weapon Damage;Reduces the cost of your Stamina abilities by 5% and increases the damage of your Bow abilities against Players by 8%.;
The Morag Tong;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;When you deal direct damage, you cause the enemy to take 10% more damage from all Poison Damage abilities for 5 seconds.;
Sentry;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 688 Weapon Critical;Increases the radius you can detect Sneaking enemies by 50%. Increases your damage done to Sneaking enemeis by 20%.;
Shadow Walker;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;While you are Sneaking or invisible and are not moving, heal for 2150 Health and restore 2150 Stamina every 1 second.;
Shield of the Valiant;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 1064 Maximum Health;Adds 4% Healing Taken;Reduces your damage taken from Players by 5%.;Reduces the cost of Break Free by 40%.;
Ward of Cyrodiil;PVP;Medium;Cyrodiil - Bruma;Faction;;Adds 129 Stamina Recovery;Increases your Mounted Movement Speed by 15%.;Adds 1064 Maximum Health;Increases the amount of damage you block by 8%.;
Blessing of the Potentates;PVP;R/N/Wep;Cyrodiil - Vlastarus;Faction;;Adds 129 Stamina Recovery;Reduces the cost of your Ultimate abilites by 10%;;;
Deadly Strike;PVP;R/N/Wep;Cyrodiil - Vlastarus;Faction;;Adds 1064 Maximum Health;Adds 688 Weapon Critical;;;
Affliction;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 967 Maximum Magicka;When you deal damage, you have a 50% chance to deal an additional 2838 Disease Damage. This effect can occur once every 4 seconds.;
Alessian Order;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 129 Stamina Recovery;Adds 4% Healing Taken;Adds 1064 Maximum Health;Increases the immunity to disabling effects after using Break Free by 3 seconds.;
Bastion of the Heartland;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 1064 Maximum Health;Adds 4% Healing Taken;Reduces your damage taken from Players by 5%.;Reduces your damage taken from Siege Weapons and Player Area of Effect abilities by 20% (BUG: Needs period at the end like other 5 set bonuses);
Beckoning Steel;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 1935 Spell Resistance;Adds 1064 Maximum Health;Adds 1935 Spell Resistance;You have a 40% chance to intercept any projectile cast on an ally within 5 meters of you.;
Crest of Cyrodiil;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 129 Weapon Damage;Adds 1064 Maximum Health;Adds 4% Healing Taken;When you deal melee damage, you apply Major Defile to the enemy for 5 seconds, reducing their healing received by 30%. This effect can occur once every 5 seconds.;
Elf Bane;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 129 Spell Damage;Increases the duration of your Flame Damage abilities by 2 seconds.;
Fasalla's Guile;PVP;Heavy;Rewards for the Worthy;Abah's Watch;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 4% Healing Taken;When you take direct damage or damage from a ground-targeted attack, you reduce the attacker's healing received by 50% for 2 seconds.;
Juggernaut;PVP;Heavy;Cyrodiil - Vlastarus;Faction;;Adds 1064 Maximum Health;Adds 1935 Physical Resistance;Adds 1064 Maximum Health;When you take damage while under 30% Health, heal for 18060 Health. This effect can occur once every 1 minute.;
Ravager;PVP;Heavy;Cyrodiil - Vlastarus;Ebony;;Adds 688 Weapon Critical;Adds 1064 Maximum Health;Adds 129 Weapon Damage;When you deal melee damage, you have a 8% chance to increase your Weapon Damage by 645 for 10 seconds.;
Warrior's Fury;PVP;Heavy;Rewards for the Worthy;Abah's Watch;;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;When you take Critical Damage, your Weapon Damage is increased by 30 for 6 seconds, stacking up to 25 times.;
Galerion's Revenge;PVP;Light;Imperial City Sewers;Altmer;;Adds 688 Spell Critical;Adds 129 Magicka Recovery;Adds 129 Spell Damage;When you deal damage with a Light of Heavy Attack, you put a Mark of Revenge on the enemy for 15 seconds. After stacking 6 Marks of Revenge on an enemy they detonate for 4730 Magic Damage.;
Meritorious Service;PVP;Light;Imperial City Sewers;Faction;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;When you case a Support ability, you increase the Physical and Spell Resistance of up to 4 friendly targets with 10 meters by 3010 for 2 minutes.;
Phoenix;PVP;Light;Imperial City Sewers;Faction;;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Adds 129 Spell Damage;When you die, you instead become immune to all negative effects and healing for 3 seconds. When the effect ends, you heal for 17200 Health and explode for 8600 Flame Damage to all enemies within 8 meters. This effect can occur once every 10 minutes.;
Powerful Assault;PVP;Medium;Imperial City Sewers;Faction;;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;When you cast an Assault ability, you increase the Weapon and Spell Damage of up to 4 friendly targets within 10 meters by 164 for 15 seconds.;
Shield Breaker;PVP;Medium;Imperial City Sewers;Faction;;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Adds 129 Weapon Damage;When you deal damage with a Light or Heavy Attack against a Player with a damage shield, you deal an additional 2150 Oblivion Damage to them.;
Vicecanon of Venom;PVP;Medium;Imperial City Sewers;Argonian;;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 129 Stamina Recovery;When you deal Critical Damage to an enemy from Sneak, you inject a leeching poison that deals 13760 Poison Damage over 15 seconds to them and heals you for 100% of the damage done.;
Black Rose;PVP;Heavy;Imperial City Sewers;Faction;;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Increases your Weapon and Spell Damage by 154. Increases the Magicka and Stamina restored from the Constitution passive ability by 40%.;
Reactive Armor;PVP;Heavy;Imperial City Sewers;Faction;;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Adds 1064 Maximum Health;While you are affected by a disabling effect, your damage taken is reduced by 35%.;
Thews of the Harbinger;PVP;Heavy;Imperial City Sewers;Nord;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;When you block a direct damage attack, you deal damage to your attacker equal to 4% of your current Health.;
Imperial Physique;PVP;Any;Imperial City Sewers;Order of the Hour;;Adds 129 Stamina Recovery;Adds 129 Magicka Recovery;Adds 129 Weapon Damage\nAdds 129 Spell Damage;While you are in Imperial City, you tap into the power of the Tel Var Stones you are carrying, increasing your Health, Magicka, and Stamina by 1032. While you have a 4x Tel Var Stone multiplier this effect is increased by 600%.;
Death's Wind;Crafted 2 Traits;2;;;;;;;;
Night's Silence;Crafted 2 Traits;2;;;;;;;;
Ashen Grip;Crafted 2 Traits;2;;;;;;;;
Torug's Pact;Crafted 3 Traits;3;;;;;;;;
Trial by Fire;Crafted 3 Traits;3;;;;;;;;
Twilight's Embrace;Crafted 3 Traits;3;;;;;;;;
Armor of the Seducer;Crafted 3 Traits;3;;;;;;;;
Magnus' Gift;Crafted 4 Traits;4;;;;;;;;
Hist Bark;Crafted 4 Traits;4;;;;;;;;
Whitestrake's Retribution;Crafted 4 Traits;4;;;;;;;;